timestamp,int16__VOLT_BRDSUP,int16__TEMP_MCU,int16__VIP_INPUT_Voltage,int16__VIP_INPUT_Current,int16__VIP_INPUT_Power,uint16__STAT_CH_ON,uint16__STAT_CH_OCF,int16__VIP_Voltage_VD0,int16__VIP_Current_VD0,int16__VIP_Voltage_VD4,int16__VIP_Current_VD4,int16__VIP_Voltage_VD6,int16__VIP_Current_VD6,int16__VIP_Voltage_VD7,int16__VIP_Current_VD7,int16__VIP_Voltage_VD8,int16__VIP_Current_VD8,int16__VIP_Voltage_VD9,int16__VIP_Current_VD9,int16__VIP_Voltage_VD10,int16__VIP_Current_VD10,int16__VIP_Voltage_VD11,int16__VIP_Current_VD11
2024-11-07 20:18:09,0,806,0,0,0,65535,0,772,5,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:18:39,0,807,0,0,0,65535,0,773,9,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:19:09,0,806,0,0,0,65535,0,771,9,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:19:39,0,806,0,0,0,65535,0,771,7,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:20:09,0,806,0,0,0,65535,0,771,9,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:20:39,0,806,0,0,0,65535,0,772,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:21:09,0,806,0,0,0,65535,0,772,8,860,6,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:21:39,0,806,0,0,0,65535,0,772,9,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:22:09,0,806,0,0,0,65535,0,772,8,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:22:39,0,806,0,0,0,65535,0,773,6,859,4,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:23:09,0,806,0,0,0,65535,0,772,8,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:23:39,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:24:09,0,807,0,0,0,65535,0,772,6,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:24:39,0,806,0,0,0,65535,0,772,9,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:25:09,0,806,0,0,0,65535,0,772,5,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:25:39,0,806,0,0,0,65535,0,772,6,860,6,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:26:09,0,806,0,0,0,65535,0,772,6,860,4,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:26:39,0,806,0,0,0,65535,0,772,9,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:27:09,0,806,0,0,0,65535,0,772,8,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:27:39,0,806,0,0,0,65535,0,772,6,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:28:09,0,806,0,0,0,65535,0,772,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:28:39,0,806,0,0,0,65535,0,771,9,859,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:29:09,0,806,0,0,0,65535,0,773,9,859,4,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:29:39,0,806,0,0,0,65535,0,773,8,859,6,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:30:09,0,806,0,0,0,65535,0,772,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:30:39,0,806,0,0,0,65535,0,773,6,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:31:09,0,806,0,0,0,65535,0,773,9,859,4,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:31:39,0,806,0,0,0,65535,0,772,5,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:32:09,0,807,0,0,0,65535,0,772,9,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:32:40,0,806,0,0,0,65535,0,771,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:33:10,0,806,0,0,0,65535,0,771,8,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:33:40,0,806,0,0,0,65535,0,772,9,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:34:10,0,806,0,0,0,65535,0,772,9,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:34:40,0,806,0,0,0,65535,0,773,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:35:10,0,806,0,0,0,65535,0,771,8,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:35:40,0,806,0,0,0,65535,0,773,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:36:10,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:36:40,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:37:10,0,806,0,0,0,65535,0,772,6,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:37:40,0,806,0,0,0,65535,0,772,6,860,4,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:38:10,0,807,0,0,0,65535,0,772,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:38:40,0,805,0,0,0,65535,0,772,6,859,4,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:39:10,0,806,0,0,0,65535,0,772,9,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:39:40,0,806,0,0,0,65535,0,772,5,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:40:10,0,806,0,0,0,65535,0,772,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:40:40,0,806,0,0,0,65535,0,771,9,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:41:10,0,806,0,0,0,65535,0,771,8,860,6,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:41:40,0,807,0,0,0,65535,0,773,5,859,4,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:42:10,0,806,0,0,0,65535,0,773,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:42:40,0,806,0,0,0,65535,0,772,8,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:43:10,0,806,0,0,0,65535,0,772,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:43:40,0,806,0,0,0,65535,0,771,6,860,6,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:44:10,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:44:40,0,807,0,0,0,65535,0,773,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:45:10,0,807,0,0,0,65535,0,772,6,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:45:40,0,806,0,0,0,65535,0,772,6,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:46:10,0,807,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:46:40,0,805,0,0,0,65535,0,773,9,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:47:10,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:47:40,0,806,0,0,0,65535,0,771,9,860,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:48:11,0,806,0,0,0,65535,0,773,9,859,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:48:41,0,807,0,0,0,65535,0,772,6,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:49:11,0,806,0,0,0,65535,0,773,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:49:41,0,806,0,0,0,65535,0,772,9,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:50:11,0,806,0,0,0,65535,0,772,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:50:41,0,806,0,0,0,65535,0,772,8,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:51:11,0,806,0,0,0,65535,0,772,6,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:51:41,0,807,0,0,0,65535,0,773,9,859,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:52:11,0,806,0,0,0,65535,0,772,8,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:52:41,0,806,0,0,0,65535,0,771,10,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:53:11,0,806,0,0,0,65535,0,772,6,859,5,914,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:53:41,0,806,0,0,0,65535,0,773,9,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:54:11,0,807,0,0,0,65535,0,773,9,859,6,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:54:41,0,806,0,0,0,65535,0,772,5,860,5,912,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:55:11,0,806,0,0,0,65535,0,772,9,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:55:41,0,806,0,0,0,65535,0,772,8,860,5,913,2,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:56:23,0,807,0,0,0,65535,0,771,7,860,5,912,30,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:56:53,0,806,0,0,0,65535,0,771,8,860,5,911,32,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:57:23,0,807,0,0,0,65535,0,772,7,859,5,912,33,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:57:53,0,807,0,0,0,65535,0,772,8,860,5,910,29,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:58:23,0,807,0,0,0,65535,0,773,9,860,5,911,36,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:58:53,0,806,0,0,0,65535,0,771,9,860,5,911,30,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:59:23,0,807,0,0,0,65535,0,772,9,859,5,910,33,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 20:59:53,0,807,0,0,0,65535,0,771,6,859,5,909,29,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 21:00:23,0,807,0,0,0,65535,0,773,9,860,5,911,29,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 21:00:53,0,807,0,0,0,65535,0,772,6,860,4,911,31,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 21:01:23,0,807,0,0,0,65535,0,773,6,860,4,911,30,0,0,32767,32767,32767,32767,32767,32767,32767,32767
2024-11-07 21:01:53,0,808,0,0,0,65535,0,773,6,859,5,911,34,0,0,32767,32767,32767,32767,32767,32767,32767,32767
