timestamp,adcsErrFlags,estAngRateNorm,estAngRateVec_X,estAngRateVec_Y,estAngRateVec_Z,estAttAngles_Roll,estAttAngles_Pitch,estAttAngles_Yaw,measWheelSpeed_X,measWheelSpeed_Y,measWheelSpeed_Z
2024-11-08 01:35:16,0,0,0,0,0,-2290,780,170,0,-3630,0
2024-11-08 01:35:46,0,0,0,0,0,-2070,640,680,0,-3629,0
2024-11-08 01:36:16,0,0,0,0,0,-1900,580,1090,0,-3626,0
2024-11-08 01:36:46,0,0,0,0,0,-1690,470,1470,0,-3622,0
2024-11-08 01:37:16,0,0,0,0,0,-1500,370,1720,0,-3621,0
2024-11-08 01:37:46,0,0,0,0,0,-1300,210,1910,0,-3632,0
2024-11-08 01:38:16,0,0,0,0,0,-1130,60,1930,0,-3662,0
2024-11-08 01:38:46,0,0,0,0,0,-960,70,1860,0,-3675,0
2024-11-08 01:39:16,0,0,0,0,0,-790,180,1480,0,-3663,0
2024-11-08 01:39:46,0,0,0,0,0,-600,240,820,0,-3653,0
2024-11-08 01:40:16,0,0,0,0,0,-450,240,50,0,-3647,0
2024-11-08 01:40:46,0,0,0,0,0,-230,330,-760,0,-3613,0
2024-11-08 01:41:16,0,0,0,0,0,-40,190,-1390,0,-3609,0
2024-11-08 01:41:46,0,0,0,0,0,150,60,-1760,0,-3607,0
2024-11-08 01:42:38,0,0,0,0,0,1830,-430,520,0,-3619,0
2024-11-08 01:43:08,0,0,0,0,0,2090,-630,-190,0,-3647,0
2024-11-08 01:43:38,0,0,0,0,0,2280,-710,-1970,0,-3661,0
2024-11-08 01:44:08,0,0,0,0,0,2470,-790,-4220,0,-3664,0
2024-11-08 01:44:38,0,0,0,0,0,2680,-950,-6510,0,-3681,0
2024-11-08 01:45:08,0,0,0,0,0,2940,-1060,-8380,0,-3682,0
2024-11-08 01:45:38,0,0,0,0,0,3200,-1210,-9440,0,-3698,0
2024-11-08 01:46:09,0,0,0,0,0,3450,-1270,-9570,0,-3709,0
2024-11-08 01:46:39,0,0,0,0,0,3690,-1270,-8790,0,-3725,0
2024-11-08 01:47:09,0,0,0,0,0,3940,-1150,-7130,0,-3734,0
2024-11-08 01:47:39,0,0,0,0,0,4100,-900,-4690,0,-3734,0
2024-11-08 01:48:09,0,0,0,0,0,4250,-650,-2190,0,-3734,0
2024-11-08 01:48:39,0,0,0,0,0,4480,-350,-80,0,-3728,0
2024-11-08 01:49:09,0,0,0,0,0,4820,-110,1570,0,-3735,0
2024-11-08 01:49:39,0,1,0,0,-1,5270,120,2590,0,-3729,0
2024-11-08 01:50:22,0,1,0,0,-1,6030,220,2900,0,-3766,0
2024-11-08 01:50:52,0,1,0,0,-1,6740,360,2420,0,-3784,0
2024-11-08 01:51:22,0,1,0,0,-1,7370,1170,6640,0,-3802,0
2024-11-08 01:51:52,0,1,0,0,-1,8150,1240,5290,0,-3799,0
2024-11-08 01:52:22,0,1,0,0,-1,9120,1000,3010,0,-3816,0
2024-11-08 01:52:52,0,1,0,0,-1,10230,640,510,0,-3869,0
2024-11-08 01:53:22,0,1,0,0,-1,11320,470,-1770,0,-3890,0
2024-11-08 01:53:52,0,1,0,0,-1,12430,270,-3950,0,-3902,0
2024-11-08 01:54:22,0,1,0,0,-1,13350,70,-5730,0,-3900,0
2024-11-08 01:54:52,0,1,0,0,-1,14170,-290,-7470,0,-3912,0
2024-11-08 01:55:22,0,0,0,0,0,14800,-530,-8820,0,-3911,0
2024-11-08 01:55:52,0,0,0,0,0,15280,-750,-9970,0,-3903,0
2024-11-08 01:56:22,0,0,0,0,0,15440,-1000,-10730,0,-3905,0
2024-11-08 01:56:52,0,0,0,0,0,15250,-1050,-11090,0,-3894,0
2024-11-08 01:57:22,0,0,0,0,0,14740,-950,-11100,0,-3861,0
2024-11-08 01:57:52,0,0,0,0,0,13990,-880,-10850,0,-3843,0
2024-11-08 01:58:22,0,0,0,0,0,13020,-660,-10370,0,-3807,0
2024-11-08 01:58:52,0,0,0,0,0,11770,-470,-9630,0,-3779,0
2024-11-08 01:59:22,0,0,0,0,0,10380,-310,-8900,0,-3752,0
2024-11-08 01:59:52,0,0,0,0,0,9120,-200,-8370,0,-3725,0
2024-11-08 02:00:22,0,0,0,0,0,8090,-260,-8100,0,-3711,0
2024-11-08 02:00:52,0,0,0,0,0,7110,-320,-7840,0,-3705,0
2024-11-08 02:01:23,0,0,0,0,0,5860,-400,-7390,0,-3714,0
2024-11-08 02:01:53,0,0,0,0,0,4630,-340,-7000,0,-3718,0
2024-11-08 02:02:23,0,0,0,0,0,3510,-240,-6670,0,-3703,0
2024-11-08 02:02:53,0,0,0,0,0,2400,-180,-6360,0,-3689,0
2024-11-08 02:03:23,0,0,0,0,0,1290,-170,-6050,0,-3669,0
2024-11-08 02:03:53,0,0,0,0,0,400,-360,-5900,0,-3685,0
2024-11-08 02:04:23,0,0,0,0,0,-470,-410,-5750,0,-3702,0
2024-11-08 02:04:53,0,0,0,0,0,-1330,-300,-5610,0,-3709,0
2024-11-08 02:05:23,0,0,0,0,0,-2190,-100,-5520,0,-3695,0
2024-11-08 02:05:53,0,0,0,0,0,-2910,10,-5280,0,-3689,0
2024-11-08 02:06:23,0,0,0,0,0,-3110,140,-5090,0,-3670,0
2024-11-08 02:06:53,0,0,0,0,0,-3010,150,-4730,0,-3665,0
2024-11-08 02:07:23,0,0,0,0,0,-3040,290,-4390,0,-3644,0
2024-11-08 02:07:53,0,0,0,0,0,-3310,360,-4220,0,-3624,0
2024-11-08 02:08:23,0,0,0,0,0,-3510,400,-4080,0,-3608,0
2024-11-08 02:08:53,0,0,0,0,0,-3730,390,-4000,0,-3587,0
2024-11-08 02:09:23,0,0,0,0,0,-3950,280,-3980,0,-3585,0
2024-11-08 02:09:53,0,0,0,0,0,-4400,270,-4210,0,-3568,0
2024-11-08 02:10:23,0,0,0,0,0,-4860,210,-4380,0,-3549,0
2024-11-08 02:10:53,0,0,0,0,0,-5280,30,-4470,0,-3552,0
2024-11-08 02:11:23,0,0,0,0,0,-5510,-120,-4400,0,-3551,0
2024-11-08 02:11:53,0,0,0,0,0,-5570,-280,-4160,0,-3546,0
2024-11-08 02:12:23,0,0,0,0,0,-5520,-410,-3740,0,-3539,0
2024-11-08 02:12:53,0,0,0,0,0,-5290,-610,-3060,0,-3531,0
2024-11-08 02:13:23,0,0,0,0,0,-4830,-820,-2180,0,-3533,0
2024-11-08 02:13:53,0,0,0,0,0,-4340,-1030,-1250,0,-3538,0
2024-11-08 02:14:23,0,0,0,0,0,-3890,-1150,-390,0,-3550,0
2024-11-08 02:14:53,0,0,0,0,0,-3340,-1160,600,0,-3557,0
2024-11-08 02:15:23,0,0,0,0,0,-2790,-1060,1520,0,-3554,0
2024-11-08 02:15:53,0,0,0,0,0,-2350,-940,2280,0,-3549,0
2024-11-08 02:16:24,0,0,0,0,0,-2020,-820,2870,0,-3544,0
2024-11-08 02:16:54,0,0,0,0,0,-1660,-710,3470,0,-3540,0
2024-11-08 02:17:24,0,0,0,0,0,-1380,-560,3960,0,-3517,0
2024-11-08 02:17:54,0,0,0,0,0,-1150,-600,4350,0,-3517,0
2024-11-08 02:18:24,0,0,0,0,0,-870,-650,4720,0,-3524,0
2024-11-08 02:18:54,0,0,0,0,0,-650,-640,5060,0,-3529,0
2024-11-08 02:19:24,0,0,0,0,0,-490,-630,5270,0,-3520,0
2024-11-08 02:19:54,0,0,0,0,0,-330,-750,5430,0,-3527,0
2024-11-08 02:20:24,0,0,0,0,0,-170,-940,5400,0,-3560,0
2024-11-08 02:20:54,0,0,0,0,0,0,-1100,5420,0,-3608,0
2024-11-08 02:21:24,0,0,0,0,0,180,-910,5430,0,-3618,0
2024-11-08 02:21:54,0,0,0,0,0,420,-740,5480,0,-3621,0
2024-11-08 02:22:24,0,0,0,0,0,650,-580,5470,0,-3623,0
2024-11-08 02:22:54,0,0,0,0,0,820,-400,5380,0,-3621,0
2024-11-08 02:23:24,0,0,0,0,0,930,-330,5180,0,-3629,0
2024-11-08 02:23:54,0,0,0,0,0,1080,-310,4970,0,-3643,0
2024-11-08 02:24:24,0,0,0,0,0,1200,-220,4620,0,-3653,0
2024-11-08 02:24:54,0,0,0,0,0,1330,-170,4400,0,-3666,0
2024-11-08 02:25:24,0,0,0,0,0,1460,-70,4040,0,-3691,0
2024-11-08 02:25:54,0,0,0,0,0,1570,170,3510,0,-3686,0
2024-11-08 02:26:24,0,0,0,0,0,1690,360,2830,0,-3673,0
2024-11-08 02:26:54,0,0,0,0,0,1820,400,1980,0,-3683,0
2024-11-08 02:27:24,0,0,0,0,0,1930,440,1060,0,-3698,0
2024-11-08 02:27:54,0,0,0,0,0,2080,540,250,0,-3699,0
2024-11-08 02:28:24,0,0,0,0,0,2230,560,-550,0,-3698,0
2024-11-08 02:28:54,0,0,0,0,0,2400,480,-1460,0,-3708,0
2024-11-08 02:29:24,0,0,0,0,0,2580,370,-2380,0,-3736,0
2024-11-08 02:29:54,0,0,0,0,0,2720,370,-3320,0,-3746,0
2024-11-08 02:30:24,0,0,0,0,0,2840,400,-4110,0,-3733,0
2024-11-08 02:30:54,0,0,0,0,0,2930,220,-4750,0,-3736,0
2024-11-08 02:31:25,0,0,0,0,0,2960,-30,-5250,0,-3764,0
2024-11-08 02:31:55,0,0,0,0,0,2970,-130,-5660,0,-3780,0
2024-11-08 02:32:25,0,0,0,0,0,2860,-160,-5790,0,-3783,0
2024-11-08 02:32:55,0,0,0,0,0,2700,-200,-5750,0,-3793,0
2024-11-08 02:33:25,0,0,0,0,0,2430,-170,-5540,0,-3788,0
2024-11-08 02:33:55,0,0,0,0,0,2070,-80,-5100,0,-3767,0
2024-11-08 02:34:25,0,0,0,0,0,1690,-90,-4480,0,-3755,0
2024-11-08 02:34:55,0,0,0,0,0,1300,-70,-3860,0,-3736,0
2024-11-08 02:35:25,0,0,0,0,0,1000,-150,-3250,0,-3730,0
2024-11-08 02:35:55,0,0,0,0,0,740,-220,-2820,0,-3727,0
2024-11-08 02:36:25,0,0,0,0,0,480,-290,-2370,0,-3732,0
2024-11-08 02:36:55,0,0,0,0,0,160,-260,-1840,0,-3729,0
2024-11-08 02:37:25,0,0,0,0,0,-180,-190,-1340,0,-3724,0
2024-11-08 02:37:55,0,0,0,0,0,-560,-80,-730,0,-3720,0
2024-11-08 02:38:25,0,0,0,0,0,-860,110,-240,0,-3679,0
2024-11-08 02:38:55,0,0,0,0,0,-1070,70,60,0,-3656,0
