timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-17 20:46:01,96911,0,2,167
2024-11-17 20:46:31,97092,0,2,167
2024-11-17 20:47:01,97092,0,2,167
2024-11-17 20:47:31,97092,0,2,167
2024-11-17 20:48:01,96911,0,2,167
2024-11-17 20:48:31,97092,0,2,167
2024-11-17 20:49:01,97092,0,2,167
2024-11-17 20:49:31,97092,0,2,167
2024-11-17 20:50:01,97092,0,2,167
2024-11-17 20:50:31,96911,0,2,167
2024-11-17 20:51:01,97092,0,2,167
2024-11-17 20:51:31,97092,0,2,167
2024-11-17 20:52:01,96911,0,2,167
2024-11-17 20:52:31,97092,0,2,167
2024-11-17 20:53:01,97092,0,2,167
2024-11-17 20:53:31,97092,0,2,167
2024-11-17 20:54:01,96911,0,2,167
2024-11-17 20:54:31,96911,0,2,167
2024-11-17 20:55:01,96911,0,2,167
2024-11-17 20:55:31,96911,0,2,167
2024-11-17 20:56:01,97092,0,2,167
2024-11-17 20:56:31,97092,0,2,167
2024-11-17 20:57:01,96911,0,2,167
2024-11-17 20:57:31,97092,0,2,167
2024-11-17 20:58:01,96911,0,2,167
2024-11-17 20:58:31,97273,0,2,167
2024-11-17 20:59:01,97092,0,2,167
2024-11-17 20:59:31,97092,0,2,167
2024-11-17 21:00:01,96911,0,2,167
2024-11-17 21:00:31,96911,0,2,167
2024-11-17 21:01:01,97092,0,2,167
2024-11-17 21:01:32,97092,0,2,167
2024-11-17 21:02:02,97092,0,2,167
2024-11-17 21:02:32,96911,0,2,167
2024-11-17 21:03:02,97092,0,2,167
2024-11-17 21:03:32,96911,0,2,167
2024-11-17 21:04:02,97092,0,2,167
2024-11-17 21:04:32,97092,0,2,167
2024-11-17 21:05:02,97092,0,2,167
2024-11-17 21:05:32,96911,0,2,167
2024-11-17 21:06:02,96911,0,2,167
2024-11-17 21:06:32,96911,0,2,167
2024-11-17 21:07:02,96911,0,2,167
2024-11-17 21:07:32,96911,0,2,167
2024-11-17 21:08:02,97092,0,2,167
2024-11-17 21:08:32,97273,0,2,167
2024-11-17 21:09:02,97092,0,2,167
2024-11-17 21:09:32,97092,0,2,167
2024-11-17 21:10:02,97092,0,2,167
2024-11-17 21:10:32,97092,0,2,167
2024-11-17 21:11:02,97092,0,2,167
2024-11-17 21:11:32,97092,0,2,167
2024-11-17 21:12:02,96911,0,2,167
2024-11-17 21:12:32,97092,0,2,167
2024-11-17 21:13:02,97092,0,2,167
2024-11-17 21:13:32,97092,0,2,167
2024-11-17 21:14:02,97273,0,2,167
2024-11-17 21:14:32,97092,0,2,167
2024-11-17 21:15:02,97092,0,2,167
2024-11-17 21:15:32,97092,0,2,167
2024-11-17 21:16:02,96911,0,2,167
2024-11-17 21:16:32,97092,0,2,167
2024-11-17 21:17:02,97092,0,2,167
2024-11-17 21:17:32,97092,0,2,167
2024-11-17 21:18:02,97092,0,2,167
2024-11-17 21:18:32,96911,0,2,167
2024-11-17 21:19:02,96911,0,2,167
2024-11-17 21:19:32,97092,0,2,167
2024-11-17 21:20:02,97092,0,2,167
2024-11-17 21:20:33,96911,0,2,167
2024-11-17 21:21:03,97273,0,2,167
2024-11-17 21:21:33,97273,0,2,167
2024-11-17 21:22:03,97092,0,2,167
2024-11-17 21:22:33,97092,0,2,167
2024-11-17 21:23:03,97092,0,2,167
2024-11-17 21:23:33,96911,0,2,167
2024-11-17 21:24:03,97092,0,2,167
2024-11-17 21:24:33,97092,0,2,167
2024-11-17 21:25:03,96911,0,2,167
2024-11-17 21:25:33,96911,0,2,167
2024-11-17 21:26:03,97092,0,2,167
2024-11-17 21:26:33,96911,0,2,167
2024-11-17 21:27:03,96911,0,2,167
2024-11-17 21:27:33,97092,0,2,167
2024-11-17 21:28:03,97092,0,2,167
2024-11-17 21:28:33,97092,0,2,167
2024-11-17 21:29:03,97092,0,2,167
2024-11-17 21:29:33,96911,0,2,167
2024-11-17 21:30:03,96559,0,7,167
2024-11-17 21:30:33,97092,0,2,167
2024-11-17 21:31:03,97092,0,2,167
2024-11-17 21:31:33,97092,0,2,167
2024-11-17 21:32:03,96911,0,2,167
2024-11-17 21:32:33,97092,0,2,167
2024-11-17 21:33:03,97092,0,2,167
2024-11-17 21:33:33,97092,0,2,167
2024-11-17 21:34:03,97092,0,2,167
2024-11-17 21:34:33,96911,0,2,167
2024-11-17 21:35:03,97092,0,2,167
2024-11-17 21:35:33,97092,0,2,167
2024-11-17 21:36:03,97092,0,2,167
2024-11-17 21:36:33,96911,0,2,167
2024-11-17 21:37:03,97092,0,2,167
2024-11-17 21:37:33,96911,0,2,167
2024-11-17 21:38:03,97092,0,2,167
2024-11-17 21:38:34,97092,0,2,167
2024-11-17 21:39:04,97092,0,2,167
2024-11-17 21:39:34,97092,0,2,167
2024-11-17 21:40:04,97092,0,2,167
2024-11-17 21:40:34,97092,0,2,167
2024-11-17 21:41:04,97092,0,2,167
2024-11-17 21:41:34,97092,0,2,167
2024-11-17 21:42:04,96911,0,2,167
2024-11-17 21:42:34,97092,0,2,167
2024-11-17 21:43:04,97092,0,2,167
2024-11-17 21:43:34,97092,0,2,167
2024-11-17 21:44:04,97092,0,2,167
2024-11-17 21:44:34,97092,0,2,167
2024-11-17 21:45:04,97092,0,2,167
2024-11-17 21:45:34,96911,0,2,167
2024-11-17 21:46:04,96911,0,2,167
2024-11-17 21:46:34,96911,0,2,167
2024-11-17 21:47:04,96911,0,2,167
