timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-18 04:59:39,97092,0,2,167
2024-11-18 05:00:09,97092,0,2,167
2024-11-18 05:00:39,97092,0,2,167
2024-11-18 05:01:09,97092,0,2,167
2024-11-18 05:01:39,97092,0,2,167
2024-11-18 05:02:09,97092,0,2,167
2024-11-18 05:02:39,97092,0,2,167
2024-11-18 05:03:09,97092,0,2,167
2024-11-18 05:03:39,97092,0,2,167
2024-11-18 05:04:09,97092,0,2,167
2024-11-18 05:04:39,97092,0,2,167
2024-11-18 05:05:09,97092,0,2,167
2024-11-18 05:05:39,97092,0,2,167
2024-11-18 05:06:09,97092,0,2,167
2024-11-18 05:06:39,96911,0,2,167
2024-11-18 05:07:09,97092,0,2,167
2024-11-18 05:07:39,97273,0,2,167
2024-11-18 05:08:09,97092,0,2,167
2024-11-18 05:08:39,96911,0,2,167
2024-11-18 05:09:09,96911,0,2,167
2024-11-18 05:09:39,97092,0,2,167
2024-11-18 05:10:09,96911,0,2,167
2024-11-18 05:10:39,96911,0,2,167
2024-11-18 05:11:09,96911,0,2,167
2024-11-18 05:11:39,96911,0,2,167
2024-11-18 05:12:09,97092,0,2,167
2024-11-18 05:12:39,97092,0,2,167
2024-11-18 05:13:09,97092,0,2,167
2024-11-18 05:13:39,97092,0,2,167
2024-11-18 05:14:09,97092,0,2,167
2024-11-18 05:14:39,97092,0,2,167
2024-11-18 05:15:10,97092,0,2,167
2024-11-18 05:15:40,96911,0,2,167
2024-11-18 05:16:10,96911,0,2,167
2024-11-18 05:16:40,97092,0,2,167
2024-11-18 05:17:10,97092,0,2,167
2024-11-18 05:17:40,97092,0,2,167
2024-11-18 05:18:10,97092,0,2,167
2024-11-18 05:18:40,96911,0,2,167
2024-11-18 05:19:10,96911,0,2,167
2024-11-18 05:19:40,96911,0,2,167
2024-11-18 05:20:10,97092,0,2,167
2024-11-18 05:20:40,97092,0,2,167
2024-11-18 05:21:10,97092,0,2,167
2024-11-18 05:21:40,97092,0,2,167
2024-11-18 05:22:10,96911,0,2,167
2024-11-18 05:22:40,97092,0,2,167
2024-11-18 05:23:10,97092,0,2,167
2024-11-18 05:23:40,97092,0,2,167
2024-11-18 05:24:10,97092,0,2,167
2024-11-18 05:24:40,97092,0,2,167
2024-11-18 05:25:10,96911,0,2,167
2024-11-18 05:25:40,96911,0,2,167
2024-11-18 05:26:10,96911,0,2,167
2024-11-18 05:26:40,96911,0,2,167
2024-11-18 05:27:10,97092,0,2,167
2024-11-18 05:27:40,96911,0,2,167
2024-11-18 05:28:10,96911,0,2,167
2024-11-18 05:28:40,97092,0,2,167
2024-11-18 05:29:10,97273,0,2,167
2024-11-18 05:29:40,97092,0,2,167
2024-11-18 05:30:10,97092,0,2,167
2024-11-18 05:30:40,97092,0,2,167
2024-11-18 05:31:10,97092,0,2,167
2024-11-18 05:31:40,97092,0,2,167
2024-11-18 05:32:11,97092,0,2,167
2024-11-18 05:32:41,97273,0,2,167
2024-11-18 05:33:11,96911,0,2,167
2024-11-18 05:33:41,97092,0,2,167
2024-11-18 05:34:11,97092,0,2,167
2024-11-18 05:34:41,97092,0,2,167
2024-11-18 05:35:11,97092,0,2,167
2024-11-18 05:35:41,96911,0,2,167
2024-11-18 05:36:11,97092,0,2,167
2024-11-18 05:36:41,97092,0,2,167
2024-11-18 05:37:11,97092,0,2,167
2024-11-18 05:37:41,97092,0,2,167
2024-11-18 05:38:11,97092,0,2,167
2024-11-18 05:38:41,97273,0,2,167
2024-11-18 05:39:11,97092,0,2,167
2024-11-18 05:39:41,97246,0,3,167
2024-11-18 05:40:11,97092,0,2,167
2024-11-18 05:40:59,96594,0,6,167
2024-11-18 05:41:29,96629,0,5,167
2024-11-18 05:41:59,96816,0,5,167
2024-11-18 05:42:29,96559,0,7,167
2024-11-18 05:42:59,96629,0,5,167
2024-11-18 05:43:29,96848,0,4,167
2024-11-18 05:43:59,96848,0,4,167
2024-11-18 05:44:29,96629,0,5,167
2024-11-18 05:44:59,96594,0,6,167
2024-11-18 05:45:29,96848,0,4,167
2024-11-18 05:45:59,96749,0,7,167
2024-11-18 05:46:29,96783,0,6,167
2024-11-18 05:46:59,96368,0,7,167
2024-11-18 05:47:29,96664,0,4,167
2024-11-18 05:47:59,96848,0,4,167
2024-11-18 05:48:29,96443,0,5,167
2024-11-18 05:48:59,96664,0,4,167
2024-11-18 05:49:29,96749,0,7,167
2024-11-18 05:49:59,96443,0,5,167
2024-11-18 05:50:30,96250,0,10,167
2024-11-18 05:51:00,96629,0,5,167
2024-11-18 05:51:30,96664,0,4,167
2024-11-18 05:52:04,96880,0,3,167
2024-11-18 05:52:34,96880,0,3,167
2024-11-18 05:53:04,97092,0,2,167
2024-11-18 05:53:34,97092,0,2,167
2024-11-18 05:54:04,96911,0,2,167
2024-11-18 05:54:34,97063,0,3,167
2024-11-18 05:55:04,97092,0,2,167
2024-11-18 05:55:34,96911,0,2,167
2024-11-18 05:56:04,96911,0,2,167
2024-11-18 05:56:34,96911,0,2,167
2024-11-18 05:57:04,97092,0,2,167
2024-11-18 05:57:34,97092,0,2,167
2024-11-18 05:58:04,96911,0,2,167
2024-11-18 05:58:34,96911,0,2,167
2024-11-18 05:59:04,97092,0,2,167
2024-11-18 05:59:34,97092,0,2,167
2024-11-18 06:00:04,97092,0,2,167
2024-11-18 06:00:34,97092,0,2,167
2024-11-18 06:01:04,96911,0,2,167
