timestamp,a__int16__estQSet,a__int16__estAngRateVec
2024-10-31 08:11:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:12:16,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:12:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:13:16,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:13:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:14:16,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:14:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:15:16,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:15:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:16:16,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:16:46,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:18:58,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:21:06,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:23:01,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:23:31,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:24:02,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:24:32,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:25:40,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:26:10,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:27:04,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:27:34,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:28:04,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:28:34,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:29:04,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:29:34,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:30:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:30:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:31:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:31:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:32:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:32:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:33:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:33:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:34:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:34:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:35:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:35:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:36:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:36:56,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:37:26,"[0, 0, 0]","[0, 0, 0]"
2024-10-31 08:37:56,"[0, 0, 0]","[0, 0, 0]"
