timestamp,uint8__opMode,uint32__upTime,uint16__totalResetCount,uint16__resetReasonBitField,uint16__payloadModesStatus
2024-11-18 03:58:05,2,219218,9516,890,0
2024-11-18 03:58:35,2,219248,9516,890,0
2024-11-18 03:59:05,2,219278,9516,890,0
2024-11-18 03:59:35,2,219308,9516,890,0
2024-11-18 04:00:05,2,219338,9516,890,0
2024-11-18 04:00:35,2,219368,9516,890,0
2024-11-18 04:01:05,2,219398,9516,890,0
2024-11-18 04:01:35,2,219429,9516,890,0
2024-11-18 04:02:06,2,219459,9516,890,0
2024-11-18 04:02:36,2,219489,9516,890,0
2024-11-18 04:03:06,2,219519,9516,890,0
2024-11-18 04:03:36,2,219549,9516,890,0
2024-11-18 04:04:06,2,219579,9516,890,0
2024-11-18 04:04:36,2,219609,9516,890,0
2024-11-18 04:05:06,2,219639,9516,890,0
2024-11-18 04:05:36,2,219669,9516,890,0
2024-11-18 04:06:06,2,219699,9516,890,0
2024-11-18 04:06:36,2,219729,9516,890,0
2024-11-18 04:07:06,2,219759,9516,890,0
2024-11-18 04:07:36,2,219789,9516,890,0
2024-11-18 04:08:06,2,219819,9516,890,0
2024-11-18 04:08:36,2,219849,9516,890,0
2024-11-18 04:09:06,2,219879,9516,890,0
2024-11-18 04:09:36,2,219909,9516,890,0
2024-11-18 04:10:06,2,219939,9516,890,0
2024-11-18 04:10:36,2,219969,9516,890,0
2024-11-18 04:11:06,2,219999,9516,890,0
2024-11-18 04:11:36,2,220029,9516,890,0
2024-11-18 04:12:06,2,220059,9516,890,0
2024-11-18 04:12:36,2,220089,9516,890,0
2024-11-18 04:13:06,2,220119,9516,890,0
2024-11-18 04:13:36,2,220149,9516,890,0
2024-11-18 04:14:06,2,220179,9516,890,0
2024-11-18 04:14:36,2,220209,9516,890,0
2024-11-18 04:15:06,2,220239,9516,890,0
2024-11-18 04:15:36,2,220269,9516,890,0
2024-11-18 04:16:06,2,220299,9516,890,0
2024-11-18 04:16:36,2,220329,9516,890,0
2024-11-18 04:17:06,2,220359,9516,890,0
2024-11-18 04:17:36,2,220389,9516,890,0
2024-11-18 04:18:06,2,220419,9516,890,0
2024-11-18 04:18:36,2,220449,9516,890,0
2024-11-18 04:19:06,2,220479,9516,890,0
2024-11-18 04:19:36,2,220509,9516,890,0
2024-11-18 04:20:07,2,220539,9516,890,0
2024-11-18 04:20:37,2,220569,9516,890,0
2024-11-18 04:21:07,2,220599,9516,890,0
2024-11-18 04:21:37,2,220629,9516,890,0
2024-11-18 04:22:07,2,220659,9516,890,0
2024-11-18 04:22:37,2,220689,9516,890,0
2024-11-18 04:23:07,2,220719,9516,890,0
2024-11-18 04:23:37,2,220749,9516,890,0
2024-11-18 04:24:07,2,220779,9516,890,0
2024-11-18 04:24:37,2,220809,9516,890,0
2024-11-18 04:25:07,2,220839,9516,890,0
2024-11-18 04:25:37,2,220869,9516,890,0
2024-11-18 04:26:07,2,220899,9516,890,0
2024-11-18 04:26:37,2,220929,9516,890,0
2024-11-18 04:27:07,2,220959,9516,890,0
2024-11-18 04:27:37,2,220989,9516,890,0
2024-11-18 04:28:07,2,221019,9516,890,0
2024-11-18 04:28:37,2,221049,9516,890,0
2024-11-18 04:29:07,2,221079,9516,890,0
2024-11-18 04:29:37,2,221109,9516,890,0
2024-11-18 04:30:07,2,221139,9516,890,0
2024-11-18 04:30:37,2,221169,9516,890,0
2024-11-18 04:31:07,2,221199,9516,890,0
2024-11-18 04:31:37,2,221229,9516,890,0
2024-11-18 04:32:07,2,221259,9516,890,0
2024-11-18 04:32:37,2,221289,9516,890,0
2024-11-18 04:33:07,2,221319,9516,890,0
2024-11-18 04:33:37,2,221349,9516,890,0
2024-11-18 04:34:07,2,221379,9516,890,0
2024-11-18 04:34:37,2,221409,9516,890,0
2024-11-18 04:35:07,2,221439,9516,890,0
2024-11-18 04:35:37,2,221469,9516,890,0
2024-11-18 04:36:07,2,221499,9516,890,0
2024-11-18 04:36:37,2,221529,9516,890,0
2024-11-18 04:37:07,2,221559,9516,890,0
2024-11-18 04:37:37,2,221589,9516,890,0
2024-11-18 04:38:07,2,221619,9516,890,0
2024-11-18 04:38:38,2,221649,9516,890,0
2024-11-18 04:39:08,2,221679,9516,890,0
2024-11-18 04:39:38,2,221709,9516,890,0
2024-11-18 04:40:08,2,221739,9516,890,0
2024-11-18 04:40:38,2,221769,9516,890,0
2024-11-18 04:41:08,2,221799,9516,890,0
2024-11-18 04:41:38,2,221829,9516,890,0
2024-11-18 04:42:08,2,221859,9516,890,0
