timestamp,adcsErrFlags,estAngRateNorm,estAngRateVec_X,estAngRateVec_Y,estAngRateVec_Z,estAttAngles_Roll,estAttAngles_Pitch,estAttAngles_Yaw,measWheelSpeed_X,measWheelSpeed_Y,measWheelSpeed_Z
2024-11-17 19:14:47,0,0,0,0,0,-960,-1340,-11670,0,-3668,0
2024-11-17 19:15:17,0,0,0,0,0,-990,-1180,-11110,0,-3667,0
2024-11-17 19:15:47,0,0,0,0,0,-970,-1030,-10460,0,-3651,0
2024-11-17 19:16:17,0,0,0,0,0,-950,-890,-9730,0,-3639,0
2024-11-17 19:16:47,0,0,0,0,0,-920,-800,-8860,0,-3634,0
2024-11-17 19:17:17,0,1,0,0,1,-900,-710,-7890,0,-3625,0
2024-11-17 19:17:47,0,0,0,0,0,-880,-620,-6780,0,-3612,0
2024-11-17 19:18:17,0,1,0,0,1,-850,-580,-5630,0,-3602,0
2024-11-17 19:18:47,0,1,0,0,1,-830,-560,-4380,0,-3598,0
2024-11-17 19:19:17,0,1,0,0,1,-820,-530,-3110,0,-3593,0
2024-11-17 19:19:47,0,1,0,0,1,-830,-570,-1870,0,-3600,0
2024-11-17 19:20:17,0,0,0,0,0,-860,-490,-700,0,-3603,0
2024-11-17 19:20:47,0,0,0,0,0,-900,-410,280,0,-3590,0
2024-11-17 19:21:17,0,0,0,0,0,-980,-380,1330,0,-3593,0
2024-11-17 19:21:47,0,0,0,0,0,-1030,-340,2440,0,-3588,0
2024-11-17 19:22:17,0,0,0,0,0,-1090,-320,3670,0,-3585,0
2024-11-17 19:22:47,0,0,0,0,0,-1140,-350,4890,0,-3593,0
2024-11-17 19:23:17,0,1,0,0,1,-1190,-320,6120,0,-3593,0
2024-11-17 19:23:47,0,0,0,0,0,-1300,-260,7350,0,-3582,0
2024-11-17 19:24:17,0,0,0,0,0,-1380,-240,8260,0,-3573,0
2024-11-17 19:24:47,0,0,0,0,0,-1430,-300,9020,0,-3569,0
2024-11-17 19:25:17,0,0,0,0,0,-1480,-400,9620,0,-3577,0
2024-11-17 19:25:47,0,0,0,0,0,-1520,-450,10250,0,-3578,0
2024-11-17 19:26:17,0,0,0,0,0,-1480,-470,10670,0,-3579,0
2024-11-17 19:26:47,0,0,0,0,0,-1430,-510,10980,0,-3572,0
2024-11-17 19:27:17,0,0,0,0,0,-1330,-660,11250,0,-3588,0
2024-11-17 19:27:47,0,0,0,0,0,-1240,-760,11410,0,-3603,0
2024-11-17 19:28:17,0,0,0,0,0,-1100,-810,11500,0,-3621,0
2024-11-17 19:28:47,0,0,0,0,0,-950,-800,11390,0,-3634,0
2024-11-17 19:29:17,0,0,0,0,0,-770,-750,11120,0,-3636,0
2024-11-17 19:29:47,0,0,0,0,0,-520,-700,10610,0,-3643,0
2024-11-17 19:30:18,0,0,0,0,0,-260,-610,10050,0,-3650,0
2024-11-17 19:30:48,0,0,0,0,0,40,-520,9390,0,-3648,0
2024-11-17 19:31:18,0,0,0,0,0,390,-470,8660,0,-3651,0
2024-11-17 19:31:48,0,0,0,0,0,750,-470,8000,0,-3656,0
2024-11-17 19:32:18,0,0,0,0,0,1120,-500,7290,0,-3667,0
2024-11-17 19:32:48,0,0,0,0,0,1530,-510,6610,0,-3670,0
2024-11-17 19:33:18,0,0,0,0,0,1910,-480,5870,0,-3675,0
2024-11-17 19:33:48,0,0,0,0,0,2340,-490,5170,0,-3679,0
2024-11-17 19:34:18,0,0,0,0,0,2770,-660,4490,0,-3709,0
2024-11-17 19:34:48,0,0,0,0,0,3110,-730,3870,0,-3727,0
2024-11-17 19:35:18,0,0,0,0,0,3450,-750,3290,0,-3722,0
2024-11-17 19:35:48,0,0,0,0,0,3750,-810,2830,0,-3729,0
2024-11-17 19:36:18,0,0,0,0,0,3960,-910,2490,0,-3737,0
2024-11-17 19:36:48,0,0,0,0,0,4080,-990,2410,0,-3753,0
2024-11-17 19:37:18,0,0,0,0,0,4100,-1010,2330,0,-3766,0
2024-11-17 19:37:48,0,0,0,0,0,4160,-910,2230,0,-3758,0
2024-11-17 19:38:18,0,0,0,0,0,4160,-890,2280,0,-3756,0
2024-11-17 19:38:48,0,0,0,0,0,4160,-870,2380,0,-3755,0
2024-11-17 19:39:18,0,0,0,0,0,4120,-840,2590,0,-3745,0
2024-11-17 19:39:48,0,0,0,0,0,4060,-830,2840,0,0,0
2024-11-17 19:40:18,0,0,0,0,0,4060,-830,3010,0,-3733,0
2024-11-17 19:40:48,0,0,0,0,0,4110,-880,3070,0,-3749,0
2024-11-17 19:41:18,0,0,0,0,0,4240,-870,3020,0,-3757,0
2024-11-17 19:41:48,0,0,0,0,0,4390,-830,2880,0,-3761,0
2024-11-17 19:42:18,0,0,0,0,0,4560,-780,2730,0,-3766,0
2024-11-17 19:42:48,0,0,0,0,0,4690,-690,2590,0,-3760,0
2024-11-17 19:43:18,0,0,0,0,0,4850,-640,2480,0,-3767,0
