timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-17 14:35:30,97092,0,2,167
2024-11-17 14:36:00,97092,0,2,167
2024-11-17 14:36:30,97092,0,2,167
2024-11-17 14:37:00,97092,0,2,167
2024-11-17 14:37:30,96911,0,2,167
2024-11-17 14:38:00,96911,0,2,167
2024-11-17 14:38:30,97092,0,2,167
2024-11-17 14:39:00,97092,0,2,167
2024-11-17 14:39:30,96911,0,2,167
2024-11-17 14:40:00,97092,0,2,167
2024-11-17 14:40:30,96911,0,2,167
2024-11-17 14:41:00,96911,0,2,167
2024-11-17 14:41:30,97092,0,2,167
2024-11-17 14:42:00,97092,0,2,167
2024-11-17 14:42:31,96911,0,2,167
2024-11-17 14:43:01,97092,0,2,167
2024-11-17 14:43:31,96911,0,2,167
2024-11-17 14:44:01,97092,0,2,167
2024-11-17 14:44:31,97273,0,2,167
2024-11-17 14:45:01,97092,0,2,167
2024-11-17 14:45:31,96911,0,2,167
2024-11-17 14:46:01,97092,0,2,167
2024-11-17 14:46:31,96911,0,2,167
2024-11-17 14:47:01,96911,0,2,167
2024-11-17 14:47:31,97092,0,2,167
2024-11-17 14:48:01,97273,0,2,167
2024-11-17 14:48:31,97092,0,2,167
2024-11-17 14:49:01,96911,0,2,167
2024-11-17 14:49:31,97092,0,2,167
2024-11-17 14:50:01,96911,0,2,167
2024-11-17 14:50:31,97092,0,2,167
2024-11-17 14:51:01,97092,0,2,167
2024-11-17 14:51:31,97273,0,2,167
2024-11-17 14:52:01,97092,0,2,167
2024-11-17 14:52:31,97092,0,2,167
2024-11-17 14:53:01,97092,0,2,167
2024-11-17 14:53:31,97092,0,2,167
2024-11-17 14:54:01,97092,0,2,167
2024-11-17 14:54:31,96911,0,2,167
2024-11-17 14:55:01,97092,0,2,167
2024-11-17 14:55:31,97273,0,2,167
2024-11-17 14:56:01,97092,0,2,167
2024-11-17 14:56:31,97092,0,2,167
2024-11-17 14:57:01,96911,0,2,167
2024-11-17 14:57:31,97092,0,2,167
2024-11-17 14:58:01,96911,0,2,167
2024-11-17 14:58:31,97092,0,2,167
2024-11-17 14:59:01,97092,0,2,167
2024-11-17 14:59:31,96911,0,2,167
2024-11-17 15:00:01,96911,0,2,167
2024-11-17 15:00:32,97092,0,2,167
2024-11-17 15:01:02,97092,0,2,167
2024-11-17 15:01:32,97092,0,2,167
2024-11-17 15:02:02,97092,0,2,167
2024-11-17 15:02:32,96911,0,2,167
2024-11-17 15:03:02,97092,0,2,167
2024-11-17 15:03:32,96911,0,2,167
2024-11-17 15:04:02,96911,0,2,167
2024-11-17 15:04:32,97092,0,2,167
2024-11-17 15:05:02,96911,0,2,167
2024-11-17 15:05:32,97092,0,2,167
2024-11-17 15:06:02,97273,0,2,167
2024-11-17 15:06:32,97092,0,2,167
2024-11-17 15:07:02,97092,0,2,167
2024-11-17 15:07:32,97092,0,2,167
2024-11-17 15:08:02,97273,0,2,167
2024-11-17 15:08:32,96911,0,2,167
2024-11-17 15:09:02,96911,0,2,167
2024-11-17 15:09:32,97092,0,2,167
2024-11-17 15:10:02,96911,0,2,167
2024-11-17 15:10:32,96911,0,2,167
2024-11-17 15:11:02,97092,0,2,167
2024-11-17 15:11:32,97092,0,2,167
2024-11-17 15:12:02,97273,0,2,167
2024-11-17 15:12:32,97092,0,2,167
2024-11-17 15:13:02,97092,0,2,167
2024-11-17 15:13:32,97092,0,2,167
2024-11-17 15:14:02,97092,0,2,167
2024-11-17 15:14:32,97092,0,2,167
2024-11-17 15:15:02,97092,0,2,167
2024-11-17 15:15:32,97092,0,2,167
2024-11-17 15:16:02,97092,0,2,167
2024-11-17 15:16:32,97092,0,2,167
2024-11-17 15:17:02,97092,0,2,167
2024-11-17 15:17:32,97273,0,2,167
2024-11-17 15:18:02,97092,0,2,167
2024-11-17 15:18:33,97273,0,2,167
2024-11-17 15:19:03,97092,0,2,167
2024-11-17 15:19:33,96911,0,2,167
2024-11-17 15:20:03,97092,0,2,167
2024-11-17 15:20:33,97092,0,2,167
2024-11-17 15:21:03,96911,0,2,167
2024-11-17 15:21:33,96911,0,2,167
2024-11-17 15:22:03,97092,0,2,167
2024-11-17 15:22:33,96911,0,2,167
2024-11-17 15:23:03,96911,0,2,167
2024-11-17 15:23:33,96911,0,2,167
2024-11-17 15:24:03,96911,0,2,167
2024-11-17 15:24:33,96911,0,2,167
2024-11-17 15:25:03,97092,0,2,167
2024-11-17 15:25:33,97092,0,2,167
2024-11-17 15:26:03,97092,0,2,167
2024-11-17 15:26:33,97092,0,2,167
2024-11-17 15:27:03,96911,0,2,167
2024-11-17 15:27:33,96911,0,2,167
2024-11-17 15:28:03,97092,0,2,167
2024-11-17 15:28:33,97092,0,2,167
2024-11-17 15:29:03,96911,0,2,167
2024-11-17 15:29:33,97092,0,2,167
2024-11-17 15:30:03,96911,0,2,167
2024-11-17 15:30:33,96911,0,2,167
2024-11-17 15:31:03,97092,0,2,167
2024-11-17 15:31:33,96911,0,2,167
2024-11-17 15:32:03,97092,0,2,167
2024-11-17 15:32:33,97273,0,2,167
2024-11-17 15:33:03,96911,0,2,167
2024-11-17 15:33:33,96911,0,2,167
2024-11-17 15:34:03,96911,0,2,167
2024-11-17 15:34:33,97273,0,2,167
2024-11-17 15:35:03,97092,0,2,167
2024-11-17 15:35:33,97092,0,2,167
2024-11-17 15:36:03,97092,0,2,167
2024-11-17 15:36:33,97092,0,2,167
