timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-17 12:31:52,97273,0,2,167
2024-11-17 12:32:22,97092,0,2,167
2024-11-17 12:32:52,96911,0,2,167
2024-11-17 12:33:22,96911,0,2,167
2024-11-17 12:33:52,97092,0,2,167
2024-11-17 12:34:22,97092,0,2,167
2024-11-17 12:34:52,97092,0,2,167
2024-11-17 12:35:22,97092,0,2,167
2024-11-17 12:35:52,96911,0,2,167
2024-11-17 12:36:22,97092,0,2,167
2024-11-17 12:36:52,97092,0,2,167
2024-11-17 12:37:22,97092,0,2,167
2024-11-17 12:37:53,97092,0,2,167
2024-11-17 12:38:23,96911,0,2,167
2024-11-17 12:38:53,97092,0,2,167
2024-11-17 12:39:23,97092,0,2,167
2024-11-17 12:39:53,97092,0,2,167
2024-11-17 12:40:23,97092,0,2,167
2024-11-17 12:40:53,97092,0,2,167
2024-11-17 12:41:23,97092,0,2,167
2024-11-17 12:41:53,96880,0,3,167
2024-11-17 12:42:23,97092,0,2,167
2024-11-17 12:42:53,97092,0,2,167
2024-11-17 12:43:23,97092,0,2,167
2024-11-17 12:43:53,96911,0,2,167
2024-11-17 12:44:23,96911,0,2,167
2024-11-17 12:44:53,96911,0,2,167
2024-11-17 12:45:23,96911,0,2,167
2024-11-17 12:45:53,97092,0,2,167
2024-11-17 12:46:23,97092,0,2,167
2024-11-17 12:46:53,97092,0,2,167
2024-11-17 12:47:23,96911,0,2,167
2024-11-17 12:47:53,97273,0,2,167
2024-11-17 12:48:23,96911,0,2,167
2024-11-17 12:48:53,96911,0,2,167
2024-11-17 12:49:23,97092,0,2,167
2024-11-17 12:49:53,96911,0,2,167
2024-11-17 12:50:23,97092,0,2,167
2024-11-17 12:50:53,96911,0,2,167
2024-11-17 12:51:23,97092,0,2,167
2024-11-17 12:51:53,96911,0,2,167
2024-11-17 12:52:23,97092,0,2,167
2024-11-17 12:52:53,96911,0,2,167
2024-11-17 12:53:23,96911,0,2,167
2024-11-17 12:53:53,96911,0,2,167
2024-11-17 12:54:23,97092,0,2,167
2024-11-17 12:54:53,97092,0,2,167
2024-11-17 12:55:24,96911,0,2,167
2024-11-17 12:55:54,97063,0,3,167
2024-11-17 12:56:24,96911,0,2,167
2024-11-17 12:56:54,97092,0,2,167
2024-11-17 12:57:24,97092,0,2,167
2024-11-17 12:57:54,97092,0,2,167
2024-11-17 12:58:24,96911,0,2,167
2024-11-17 12:58:54,96911,0,2,167
2024-11-17 12:59:24,97092,0,2,167
2024-11-17 12:59:54,97092,0,2,167
2024-11-17 13:00:24,97092,0,2,167
2024-11-17 13:00:54,96911,0,2,167
2024-11-17 13:01:24,97092,0,2,167
2024-11-17 13:01:54,97092,0,2,167
2024-11-17 13:02:24,96911,0,2,167
2024-11-17 13:02:54,97092,0,2,167
2024-11-17 13:03:24,97092,0,2,167
2024-11-17 13:03:54,97092,0,2,167
2024-11-17 13:04:24,97092,0,2,167
2024-11-17 13:04:54,96911,0,2,167
2024-11-17 13:05:24,97092,0,2,167
2024-11-17 13:05:54,97092,0,2,167
2024-11-17 13:06:24,97092,0,2,167
2024-11-17 13:06:54,97454,0,2,167
2024-11-17 13:07:24,96911,0,2,167
2024-11-17 13:07:54,97092,0,2,167
2024-11-17 13:08:24,97092,0,2,167
2024-11-17 13:08:54,96911,0,2,167
2024-11-17 13:09:24,96911,0,2,167
2024-11-17 13:09:54,97092,0,2,167
2024-11-17 13:10:24,97092,0,2,167
2024-11-17 13:10:54,97092,0,2,167
2024-11-17 13:11:24,96911,0,2,167
2024-11-17 13:11:54,96911,0,2,167
2024-11-17 13:12:24,97092,0,2,167
2024-11-17 13:12:54,97092,0,2,167
2024-11-17 13:13:25,96911,0,2,167
2024-11-17 13:13:55,96911,0,2,167
2024-11-17 13:14:25,97092,0,2,167
2024-11-17 13:14:55,96911,0,2,167
2024-11-17 13:15:25,96911,0,2,167
2024-11-17 13:15:55,96911,0,2,167
2024-11-17 13:16:25,97092,0,2,167
2024-11-17 13:16:55,97092,0,2,167
2024-11-17 13:17:25,96911,0,2,167
2024-11-17 13:17:55,96911,0,2,167
2024-11-17 13:18:25,97092,0,2,167
2024-11-17 13:18:55,96911,0,2,167
2024-11-17 13:19:25,96911,0,2,167
2024-11-17 13:19:55,96911,0,2,167
2024-11-17 13:20:25,96911,0,2,167
2024-11-17 13:20:55,96911,0,2,167
2024-11-17 13:21:25,97273,0,2,167
2024-11-17 13:21:55,96911,0,2,167
2024-11-17 13:22:25,97092,0,2,167
2024-11-17 13:22:55,97092,0,2,167
2024-11-17 13:23:25,96911,0,2,167
2024-11-17 13:23:55,96911,0,2,167
2024-11-17 13:24:25,96911,0,2,167
2024-11-17 13:24:55,97092,0,2,167
2024-11-17 13:25:25,97092,0,2,167
2024-11-17 13:25:55,97092,0,2,167
2024-11-17 13:26:25,96911,0,2,167
2024-11-17 13:26:55,97092,0,2,167
2024-11-17 13:27:25,97092,0,2,167
2024-11-17 13:27:55,96911,0,2,167
2024-11-17 13:28:25,97092,0,2,167
2024-11-17 13:28:55,97092,0,2,167
2024-11-17 13:29:25,97092,0,2,167
2024-11-17 13:29:55,97092,0,2,167
2024-11-17 13:30:25,97092,0,2,167
2024-11-17 13:30:56,97092,0,2,167
2024-11-17 13:31:26,97092,0,2,167
2024-11-17 13:31:56,96911,0,2,167
2024-11-17 13:32:26,97092,0,2,167
2024-11-17 13:32:56,97092,0,2,167
