timestamp,uint16__adcsErrFlags,int32__estAngRateNorm,a__int32__estAngRateVec,a__int32__estAttAngles,a__int16__measWheelSpeed
2024-10-31 03:55:04,0,0,"[0, 0, 0]","[1460, -80, 4040]","[0, -3691, 0]"
2024-10-31 03:55:35,0,0,"[0, 0, 0]","[1560, 160, 3520]","[0, -3687, 0]"
2024-10-31 03:56:05,0,0,"[0, 0, 0]","[1680, 360, 2860]","[0, -3674, 0]"
2024-10-31 03:56:35,0,0,"[0, 0, 0]","[1810, 400, 2040]","[0, -3682, 0]"
2024-10-31 03:57:05,0,0,"[0, 0, 0]","[1910, 450, 1110]","[0, -3696, 0]"
2024-10-31 03:57:35,0,0,"[0, 0, 0]","[2070, 530, 270]","[0, -3700, 0]"
2024-10-31 03:58:05,0,0,"[0, 0, 0]","[2220, 560, -490]","[0, -3698, 0]"
2024-10-31 03:58:35,0,0,"[0, 0, 0]","[2380, 500, -1410]","[0, -3706, 0]"
2024-10-31 03:59:05,0,0,"[0, 0, 0]","[2560, 370, -2330]","[0, -3735, 0]"
2024-10-31 03:59:35,0,0,"[0, 0, 0]","[2710, 370, -3300]","[0, -3747, 0]"
2024-10-31 04:00:05,0,0,"[0, 0, 0]","[2840, 400, -4070]","[0, -3733, 0]"
2024-10-31 04:00:35,0,0,"[0, 0, 0]","[2930, 230, -4720]","[0, -3737, 0]"
2024-10-31 04:01:05,0,0,"[0, 0, 0]","[2960, -30, -5230]","[0, -3763, 0]"
2024-10-31 04:01:35,0,0,"[0, 0, 0]","[2970, -140, -5640]","[0, -3781, 0]"
2024-10-31 04:02:05,0,0,"[0, 0, 0]","[2860, -160, -5780]","[0, -3784, 0]"
2024-10-31 04:02:35,0,0,"[0, 0, 0]","[2690, -200, -5750]","[0, -3794, 0]"
2024-10-31 04:03:05,0,0,"[0, 0, 0]","[2430, -170, -5550]","[0, -3788, 0]"
2024-10-31 04:03:35,0,0,"[0, 0, 0]","[2070, -90, -5120]","[0, -3769, 0]"
2024-10-31 04:04:05,0,0,"[0, 0, 0]","[1690, -80, -4500]","[0, -3756, 0]"
2024-10-31 04:04:35,0,0,"[0, 0, 0]","[1300, -70, -3890]","[0, -3735, 0]"
2024-10-31 04:05:05,0,0,"[0, 0, 0]","[1010, -150, -3280]","[0, -3731, 0]"
2024-10-31 04:05:35,0,0,"[0, 0, 0]","[750, -230, -2830]","[0, -3728, 0]"
2024-10-31 04:06:05,0,0,"[0, 0, 0]","[480, -290, -2390]","[0, -3731, 0]"
2024-10-31 04:06:35,0,0,"[0, 0, 0]","[170, -260, -1870]","[0, -3731, 0]"
2024-10-31 04:07:05,0,0,"[0, 0, 0]","[-170, -190, -1360]","[0, -3725, 0]"
2024-10-31 04:07:35,0,0,"[0, 0, 0]","[-550, -90, -770]","[0, -3722, 0]"
2024-10-31 04:08:05,0,0,"[0, 0, 0]","[-840, 110, -270]","[0, -3682, 0]"
2024-10-31 04:08:35,0,0,"[0, 0, 0]","[-1070, 80, 40]","[0, -3655, 0]"
2024-10-31 04:09:05,0,0,"[0, 0, 0]","[-1220, -100, 200]","[0, -3670, 0]"
2024-10-31 04:09:35,0,0,"[0, 0, 0]","[-1340, -160, 370]","[0, -3666, 0]"
2024-10-31 04:10:05,0,0,"[0, 0, 0]","[-1430, -250, 400]","[0, -3667, 0]"
2024-10-31 04:10:35,0,0,"[0, 0, 0]","[-1610, -350, 570]","[0, -3670, 0]"
2024-10-31 04:11:05,0,0,"[0, 0, 0]","[-1800, -530, 760]","[0, -3688, 0]"
2024-10-31 04:11:35,0,0,"[0, 0, 0]","[-1990, -530, 930]","[0, -3715, 0]"
2024-10-31 04:12:05,0,0,"[0, 0, 0]","[-2200, -400, 1170]","[0, -3716, 0]"
2024-10-31 04:12:35,0,0,"[0, 0, 0]","[-2380, -360, 1440]","[0, -3725, 0]"
2024-10-31 04:13:05,0,0,"[0, 0, 0]","[-2460, -310, 1560]","[0, -3732, 0]"
2024-10-31 04:13:35,0,0,"[0, 0, 0]","[-2410, -200, 1560]","[0, -3723, 0]"
2024-10-31 04:14:06,0,0,"[0, 0, 0]","[-2220, -150, 1360]","[0, -3727, 0]"
2024-10-31 04:14:36,0,0,"[0, 0, 0]","[-1820, -120, 860]","[0, -3738, 0]"
2024-10-31 04:15:06,0,0,"[0, 0, 0]","[-1350, 60, 250]","[0, -3731, 0]"
2024-10-31 04:15:36,0,0,"[0, 0, 0]","[-830, 230, -440]","[0, -3713, 0]"
2024-10-31 04:16:06,0,0,"[0, 0, 0]","[-380, 220, -1050]","[0, -3730, 0]"
2024-10-31 04:16:36,0,0,"[0, 0, 0]","[100, 360, -1660]","[0, -3728, 0]"
2024-10-31 04:17:06,0,0,"[0, 0, 0]","[370, 470, -1900]","[0, -3737, 0]"
2024-10-31 04:17:36,0,0,"[0, 0, 0]","[550, 660, -2060]","[0, -3732, 0]"
2024-10-31 04:18:06,0,0,"[0, 0, 0]","[570, 800, -1910]","[0, -3732, 0]"
2024-10-31 04:18:36,0,0,"[0, 0, 0]","[490, 1020, -1570]","[0, -3711, 0]"
2024-10-31 04:19:06,0,0,"[0, 0, 0]","[300, 1190, -1020]","[0, -3693, 0]"
2024-10-31 04:19:36,0,0,"[0, 0, 0]","[80, 1310, -390]","[0, -3667, 0]"
2024-10-31 04:20:06,0,0,"[0, 0, 0]","[10, 1310, 110]","[0, -3649, 0]"
2024-10-31 04:20:36,0,0,"[0, 0, 0]","[-110, 1200, 700]","[0, -3655, 0]"
2024-10-31 04:21:06,0,0,"[0, 0, 0]","[-330, 1100, 1350]","[0, -3658, 0]"
2024-10-31 04:21:36,0,0,"[0, 0, 0]","[-480, 980, 1960]","[0, -3671, 0]"
2024-10-31 04:22:06,0,0,"[0, 0, 0]","[-610, 1010, 2550]","[0, -3667, 0]"
2024-10-31 04:22:36,0,0,"[0, 0, 0]","[-600, 970, 2910]","[0, -3681, 0]"
2024-10-31 04:23:06,0,0,"[0, 0, 0]","[-560, 1030, 3200]","[0, -3682, 0]"
2024-10-31 04:23:36,0,0,"[0, 0, 0]","[-890, 1050, 3500]","[0, -3670, 0]"
