timestamp,a__uint8__adcsState
2024-10-22 16:47:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:48:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:48:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:49:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:49:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:50:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:50:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:51:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:51:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:52:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:52:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:53:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:53:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:54:16,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:54:46,"[70, 243, 15, 0, 32, 36]"
2024-10-22 16:55:16,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:55:46,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:56:41,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:57:11,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:57:41,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:58:11,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:58:41,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:59:11,"[70, 243, 15, 0, 32, 0]"
2024-10-22 16:59:41,"[70, 243, 15, 0, 32, 0]"
2024-10-22 17:00:11,"[70, 243, 15, 0, 32, 0]"
2024-10-22 17:00:41,"[70, 243, 15, 0, 32, 0]"
2024-10-22 17:01:11,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:01:41,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:02:11,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:02:41,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:03:16,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:03:46,"[70, 243, 143, 0, 32, 0]"
2024-10-22 17:04:16,"[70, 243, 143, 0, 0, 0]"
2024-10-22 17:04:46,"[70, 243, 143, 0, 0, 0]"
