timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-18 03:58:05,96911,0,2,167
2024-11-18 03:58:35,96911,0,2,167
2024-11-18 03:59:05,97092,0,2,167
2024-11-18 03:59:35,96911,0,2,167
2024-11-18 04:00:05,96911,0,2,167
2024-11-18 04:00:35,96911,0,2,167
2024-11-18 04:01:05,97092,0,2,167
2024-11-18 04:01:35,97092,0,2,167
2024-11-18 04:02:06,96911,0,2,167
2024-11-18 04:02:36,96911,0,2,167
2024-11-18 04:03:06,97092,0,2,167
2024-11-18 04:03:36,96911,0,2,167
2024-11-18 04:04:06,97092,0,2,167
2024-11-18 04:04:36,96911,0,2,167
2024-11-18 04:05:06,97092,0,2,167
2024-11-18 04:05:36,96911,0,2,167
2024-11-18 04:06:06,97273,0,2,167
2024-11-18 04:06:36,96911,0,2,167
2024-11-18 04:07:06,96911,0,2,167
2024-11-18 04:07:36,96911,0,2,167
2024-11-18 04:08:06,97092,0,2,167
2024-11-18 04:08:36,97092,0,2,167
2024-11-18 04:09:06,97092,0,2,167
2024-11-18 04:09:36,97092,0,2,167
2024-11-18 04:10:06,96911,0,2,167
2024-11-18 04:10:36,96911,0,2,167
2024-11-18 04:11:06,97092,0,2,167
2024-11-18 04:11:36,96911,0,2,167
2024-11-18 04:12:06,97092,0,2,167
2024-11-18 04:12:36,97092,0,2,167
2024-11-18 04:13:06,96911,0,2,167
2024-11-18 04:13:36,96911,0,2,167
2024-11-18 04:14:06,97092,0,2,167
2024-11-18 04:14:36,96911,0,2,167
2024-11-18 04:15:06,97092,0,2,167
2024-11-18 04:15:36,97092,0,2,167
2024-11-18 04:16:06,97092,0,2,167
2024-11-18 04:16:36,97092,0,2,167
2024-11-18 04:17:06,97092,0,2,167
2024-11-18 04:17:36,96911,0,2,167
2024-11-18 04:18:06,97092,0,2,167
2024-11-18 04:18:36,97092,0,2,167
2024-11-18 04:19:06,97092,0,2,167
2024-11-18 04:19:36,97092,0,2,167
2024-11-18 04:20:07,97273,0,2,167
2024-11-18 04:20:37,97092,0,2,167
2024-11-18 04:21:07,97092,0,2,167
2024-11-18 04:21:37,96911,0,2,167
2024-11-18 04:22:07,97092,0,2,167
2024-11-18 04:22:37,97092,0,2,167
2024-11-18 04:23:07,97092,0,2,167
2024-11-18 04:23:37,97092,0,2,167
2024-11-18 04:24:07,96911,0,2,167
2024-11-18 04:24:37,97273,0,2,167
2024-11-18 04:25:07,97092,0,2,167
2024-11-18 04:25:37,97092,0,2,167
2024-11-18 04:26:07,96911,0,2,167
2024-11-18 04:26:37,96911,0,2,167
2024-11-18 04:27:07,97092,0,2,167
2024-11-18 04:27:37,96911,0,2,167
2024-11-18 04:28:07,96911,0,2,167
2024-11-18 04:28:37,97092,0,2,167
2024-11-18 04:29:07,96911,0,2,167
2024-11-18 04:29:37,97092,0,2,167
2024-11-18 04:30:07,96911,0,2,167
2024-11-18 04:30:37,96911,0,2,167
2024-11-18 04:31:07,97092,0,2,167
2024-11-18 04:31:37,96911,0,2,167
2024-11-18 04:32:07,96911,0,2,167
2024-11-18 04:32:37,97092,0,2,167
2024-11-18 04:33:07,96911,0,2,167
2024-11-18 04:33:37,97092,0,2,167
2024-11-18 04:34:07,96911,0,2,167
2024-11-18 04:34:37,97092,0,2,167
2024-11-18 04:35:07,96911,0,2,167
2024-11-18 04:35:37,97092,0,2,167
2024-11-18 04:36:07,97092,0,2,167
2024-11-18 04:36:37,97092,0,2,167
2024-11-18 04:37:07,96911,0,2,167
2024-11-18 04:37:37,96911,0,2,167
2024-11-18 04:38:07,97092,0,2,167
2024-11-18 04:38:38,97092,0,2,167
2024-11-18 04:39:08,97092,0,2,167
2024-11-18 04:39:38,97092,0,2,167
2024-11-18 04:40:08,97092,0,2,167
2024-11-18 04:40:38,96911,0,2,167
2024-11-18 04:41:08,96911,0,2,167
2024-11-18 04:41:38,96911,0,2,167
2024-11-18 04:42:08,97092,0,2,167
2024-11-18 04:42:38,96911,0,2,167
2024-11-18 04:43:08,96911,0,2,167
2024-11-18 04:43:38,97092,0,2,167
2024-11-18 04:44:08,97092,0,2,167
2024-11-18 04:44:38,96911,0,2,167
2024-11-18 04:45:08,97092,0,2,167
2024-11-18 04:45:38,96911,0,2,167
2024-11-18 04:46:08,96911,0,2,167
2024-11-18 04:46:38,97092,0,2,167
2024-11-18 04:47:08,96911,0,2,167
2024-11-18 04:47:38,97092,0,2,167
2024-11-18 04:48:08,97092,0,2,167
2024-11-18 04:48:38,97092,0,2,167
2024-11-18 04:49:08,97092,0,2,167
2024-11-18 04:49:38,96911,0,2,167
2024-11-18 04:50:08,96911,0,2,167
2024-11-18 04:50:38,97092,0,2,167
2024-11-18 04:51:08,96911,0,2,167
2024-11-18 04:51:38,97273,0,2,167
2024-11-18 04:52:08,97092,0,2,167
2024-11-18 04:52:38,96911,0,2,167
2024-11-18 04:53:08,96911,0,2,167
2024-11-18 04:53:38,96911,0,2,167
2024-11-18 04:54:08,97092,0,2,167
2024-11-18 04:54:38,96911,0,2,167
2024-11-18 04:55:08,96911,0,2,167
2024-11-18 04:55:38,97092,0,2,167
2024-11-18 04:56:08,97092,0,2,167
2024-11-18 04:56:38,97092,0,2,167
2024-11-18 04:57:09,96911,0,2,167
2024-11-18 04:57:39,96911,0,2,167
2024-11-18 04:58:09,97092,0,2,167
2024-11-18 04:58:39,96911,0,2,167
2024-11-18 04:59:09,97092,0,2,167
