timestamp,uint8__opMode,uint32__upTime,uint16__totalResetCount,uint16__resetReasonBitField,uint16__payloadModesStatus
2024-10-31 01:18:56,2,31219,9072,890,0
2024-10-31 01:19:26,2,31249,9072,890,0
2024-10-31 01:19:56,2,31279,9072,890,0
2024-10-31 01:20:26,2,31309,9072,890,0
2024-10-31 01:20:56,2,31339,9072,890,0
2024-10-31 01:21:26,2,31369,9072,890,0
2024-10-31 01:21:56,2,31399,9072,890,0
2024-10-31 01:22:26,2,31429,9072,890,0
2024-10-31 01:22:56,2,31459,9072,890,0
2024-10-31 01:23:26,2,31489,9072,890,0
2024-10-31 01:23:56,2,31519,9072,890,0
2024-10-31 01:24:26,2,31549,9072,890,0
2024-10-31 01:24:56,2,31579,9072,890,0
2024-10-31 01:25:26,2,31609,9072,890,0
2024-10-31 01:25:56,2,31639,9072,890,0
2024-10-31 01:26:26,2,31669,9072,890,0
2024-10-31 01:26:56,2,31699,9072,890,0
2024-10-31 01:27:26,2,31729,9072,890,0
2024-10-31 01:27:56,2,31759,9072,890,0
2024-10-31 01:28:26,2,31789,9072,890,0
2024-10-31 01:28:56,2,31819,9072,890,0
2024-10-31 01:29:26,2,31849,9072,890,0
2024-10-31 01:29:56,2,31879,9072,890,0
2024-10-31 01:30:26,2,31909,9072,890,0
2024-10-31 01:30:57,2,31939,9072,890,0
2024-10-31 01:31:27,2,31969,9072,890,0
2024-10-31 01:31:57,2,31999,9072,890,0
2024-10-31 01:32:27,2,32029,9072,890,0
2024-10-31 01:32:57,2,32059,9072,890,0
2024-10-31 01:33:27,2,32089,9072,890,0
2024-10-31 01:33:57,2,32119,9072,890,0
2024-10-31 01:34:27,2,32149,9072,890,0
2024-10-31 01:34:57,2,32179,9072,890,0
2024-10-31 01:35:27,2,32209,9072,890,0
2024-10-31 01:35:57,2,32239,9072,890,0
2024-10-31 01:36:27,2,32269,9072,890,0
2024-10-31 01:36:57,2,32299,9072,890,0
2024-10-31 01:37:27,2,32329,9072,890,0
2024-10-31 01:37:57,2,32359,9072,890,0
2024-10-31 01:38:27,2,32389,9072,890,0
2024-10-31 01:38:57,2,32419,9072,890,0
2024-10-31 01:39:27,2,32449,9072,890,0
2024-10-31 01:39:57,2,32479,9072,890,0
2024-10-31 01:40:27,2,32509,9072,890,0
2024-10-31 01:40:57,2,32539,9072,890,0
2024-10-31 01:41:27,2,32569,9072,890,0
2024-10-31 01:41:57,2,32599,9072,890,0
2024-10-31 01:42:27,2,32629,9072,890,0
2024-10-31 01:42:57,2,32659,9072,890,0
2024-10-31 01:43:27,2,32689,9072,890,0
2024-10-31 01:43:57,2,32719,9072,890,0
2024-10-31 01:44:27,2,32749,9072,890,0
2024-10-31 01:44:57,2,32779,9072,890,0
2024-10-31 01:45:27,2,32809,9072,890,0
2024-10-31 01:45:57,2,32839,9072,890,0
2024-10-31 01:46:27,2,32869,9072,890,0
2024-10-31 01:46:57,2,32899,9072,890,0
2024-10-31 01:47:27,2,32929,9072,890,0
2024-10-31 01:47:57,2,32959,9072,890,0
2024-10-31 01:48:27,2,32989,9072,890,0
2024-10-31 01:48:57,2,33019,9072,890,0
2024-10-31 01:49:27,2,33049,9072,890,0
2024-10-31 01:49:58,2,33079,9072,890,0
2024-10-31 01:50:28,2,33109,9072,890,0
2024-10-31 01:50:58,2,33139,9072,890,0
2024-10-31 01:51:28,2,33169,9072,890,0
2024-10-31 01:51:58,2,33199,9072,890,0
2024-10-31 01:52:28,2,33229,9072,890,0
2024-10-31 01:52:58,2,33259,9072,890,0
2024-10-31 01:53:28,2,33289,9072,890,0
2024-10-31 01:53:58,2,33319,9072,890,0
2024-10-31 01:54:28,2,33349,9072,890,0
2024-10-31 01:54:58,2,33379,9072,890,0
2024-10-31 01:55:28,2,33409,9072,890,0
2024-10-31 01:55:58,2,33439,9072,890,0
2024-10-31 01:56:28,2,33469,9072,890,0
2024-10-31 01:56:58,2,33499,9072,890,0
2024-10-31 01:57:28,2,33529,9072,890,0
2024-10-31 01:57:58,2,33559,9072,890,0
2024-10-31 01:58:28,2,33589,9072,890,0
2024-10-31 01:58:58,2,33619,9072,890,0
