timestamp,uint8__opMode,uint32__upTime,uint16__totalResetCount,uint16__resetReasonBitField,uint16__payloadModesStatus
2024-11-18 01:54:45,2,211824,9516,890,0
2024-11-18 01:55:15,2,211854,9516,890,0
2024-11-18 01:55:45,2,211884,9516,890,0
2024-11-18 01:56:15,2,211914,9516,890,0
2024-11-18 01:56:45,2,211944,9516,890,0
2024-11-18 01:57:15,2,211974,9516,890,0
2024-11-18 01:57:45,2,212004,9516,890,0
2024-11-18 01:58:15,2,212034,9516,890,0
2024-11-18 01:58:45,2,212064,9516,890,0
2024-11-18 01:59:15,2,212094,9516,890,0
2024-11-18 01:59:45,2,212124,9516,890,0
2024-11-18 02:00:15,2,212154,9516,890,0
2024-11-18 02:00:45,2,212184,9516,890,0
2024-11-18 02:01:15,2,212214,9516,890,0
2024-11-18 02:01:45,2,212244,9516,890,0
2024-11-18 02:02:15,2,212274,9516,890,0
2024-11-18 02:02:45,2,212304,9516,890,0
2024-11-18 02:03:15,2,212334,9516,890,0
2024-11-18 02:03:45,2,212364,9516,890,0
2024-11-18 02:04:15,2,212394,9516,890,0
2024-11-18 02:04:45,2,212424,9516,890,0
2024-11-18 02:05:15,2,212454,9516,890,0
2024-11-18 02:05:45,2,212484,9516,890,0
2024-11-18 02:06:15,2,212514,9516,890,0
2024-11-18 02:06:45,2,212544,9516,890,0
2024-11-18 02:07:15,2,212574,9516,890,0
2024-11-18 02:07:45,2,212604,9516,890,0
2024-11-18 02:08:15,2,212634,9516,890,0
2024-11-18 02:08:45,2,212664,9516,890,0
2024-11-18 02:09:15,2,212694,9516,890,0
2024-11-18 02:09:45,2,212724,9516,890,0
2024-11-18 02:10:15,2,212754,9516,890,0
2024-11-18 02:10:45,2,212784,9516,890,0
2024-11-18 02:11:15,2,212814,9516,890,0
2024-11-18 02:11:45,2,212844,9516,890,0
2024-11-18 02:12:15,2,212874,9516,890,0
2024-11-18 02:12:46,2,212904,9516,890,0
2024-11-18 02:13:16,2,212934,9516,890,0
2024-11-18 02:13:46,2,212964,9516,890,0
2024-11-18 02:14:16,2,212994,9516,890,0
2024-11-18 02:14:46,2,213024,9516,890,0
2024-11-18 02:15:16,2,213054,9516,890,0
2024-11-18 02:15:46,2,213084,9516,890,0
2024-11-18 02:16:16,2,213114,9516,890,0
2024-11-18 02:16:46,2,213144,9516,890,0
2024-11-18 02:17:16,2,213174,9516,890,0
2024-11-18 02:17:46,2,213204,9516,890,0
