timestamp,int32__battCapacity,int32__battVoltage,int32__battCurrent,int32__battTemperature
2024-11-08 03:43:47,97092,0,2,167
2024-11-08 03:44:17,97092,0,2,167
2024-11-08 03:44:47,96911,0,2,167
2024-11-08 03:45:17,97092,0,2,167
2024-11-08 03:45:47,96911,0,2,167
2024-11-08 03:46:18,96911,0,2,167
2024-11-08 03:46:48,97092,0,2,167
2024-11-08 03:47:18,96911,0,2,167
2024-11-08 03:47:48,96911,0,2,167
2024-11-08 03:48:18,97092,0,2,167
2024-11-08 03:48:48,97092,0,2,167
2024-11-08 03:49:18,96911,0,2,167
2024-11-08 03:49:48,96911,0,2,167
2024-11-08 03:50:18,96911,0,2,167
2024-11-08 03:50:48,97092,0,2,167
2024-11-08 03:51:18,97092,0,2,167
2024-11-08 03:51:48,96911,0,2,167
2024-11-08 03:52:18,97092,0,2,167
2024-11-08 03:52:48,96911,0,2,167
2024-11-08 03:53:18,97092,0,2,167
2024-11-08 03:53:48,96911,0,2,167
2024-11-08 03:54:18,97273,0,2,167
2024-11-08 03:54:48,97092,0,2,167
2024-11-08 03:55:18,97092,0,2,167
2024-11-08 03:55:48,97092,0,2,167
2024-11-08 03:56:18,96911,0,2,167
2024-11-08 03:56:48,96911,0,2,167
2024-11-08 03:57:18,97092,0,2,167
2024-11-08 03:57:48,97092,0,2,167
2024-11-08 03:58:18,96911,0,2,167
2024-11-08 03:58:48,96911,0,2,167
2024-11-08 03:59:18,97092,0,2,167
2024-11-08 03:59:48,97092,0,2,167
2024-11-08 04:00:18,97092,0,2,167
2024-11-08 04:00:48,97092,0,2,167
2024-11-08 04:01:19,97092,0,2,167
2024-11-08 04:01:49,97092,0,2,167
2024-11-08 04:02:19,96911,0,2,167
2024-11-08 04:02:49,97273,0,2,167
2024-11-08 04:03:19,97092,0,2,167
2024-11-08 04:03:49,97092,0,2,167
2024-11-08 04:04:19,96911,0,2,167
2024-11-08 04:04:49,97092,0,2,167
2024-11-08 04:05:19,97092,0,2,167
2024-11-08 04:05:49,97092,0,2,167
2024-11-08 04:06:19,97092,0,2,167
2024-11-08 04:06:49,96911,0,2,167
2024-11-08 04:07:19,96911,0,2,167
2024-11-08 04:07:49,97092,0,2,167
2024-11-08 04:08:19,97092,0,2,167
2024-11-08 04:08:49,97092,0,2,167
2024-11-08 04:09:19,97092,0,2,167
2024-11-08 04:09:49,96911,0,2,167
2024-11-08 04:10:19,96911,0,2,167
2024-11-08 04:10:49,96911,0,2,167
2024-11-08 04:11:19,97092,0,2,167
2024-11-08 04:11:49,97092,0,2,167
2024-11-08 04:12:19,97092,0,2,167
2024-11-08 04:12:49,97092,0,2,167
2024-11-08 04:13:19,97092,0,2,167
2024-11-08 04:13:49,97092,0,2,167
2024-11-08 04:14:19,97092,0,2,167
2024-11-08 04:14:49,96911,0,2,167
2024-11-08 04:15:19,97092,0,2,167
2024-11-08 04:15:49,97092,0,2,167
2024-11-08 04:16:20,97092,0,2,167
2024-11-08 04:16:50,97273,0,2,167
2024-11-08 04:17:20,97092,0,2,167
2024-11-08 04:17:50,97092,0,2,167
2024-11-08 04:18:20,97092,0,2,167
2024-11-08 04:18:50,97092,0,2,167
2024-11-08 04:19:20,97092,0,2,167
2024-11-08 04:19:50,97092,0,2,167
2024-11-08 04:20:20,97092,0,2,167
2024-11-08 04:20:50,97092,0,2,167
2024-11-08 04:21:20,97092,0,2,167
2024-11-08 04:21:50,97092,0,2,167
2024-11-08 04:22:20,97092,0,2,167
2024-11-08 04:22:50,96911,0,2,167
2024-11-08 04:23:20,96911,0,2,167
2024-11-08 04:23:50,97092,0,2,167
2024-11-08 04:24:20,96911,0,2,167
2024-11-08 04:24:50,97092,0,2,167
2024-11-08 04:25:20,97092,0,2,167
2024-11-08 04:25:50,97092,0,2,167
2024-11-08 04:26:20,96911,0,2,167
2024-11-08 04:26:50,97092,0,2,167
2024-11-08 04:27:20,96911,0,2,167
2024-11-08 04:27:50,97092,0,2,167
2024-11-08 04:28:20,97092,0,2,167
2024-11-08 04:28:50,97092,0,2,167
2024-11-08 04:29:20,97092,0,2,167
2024-11-08 04:29:50,97092,0,2,167
2024-11-08 04:30:20,97273,0,2,167
2024-11-08 04:30:51,96911,0,2,167
2024-11-08 04:31:21,96911,0,2,167
2024-11-08 04:31:51,97092,0,2,167
2024-11-08 04:32:21,97092,0,2,167
2024-11-08 04:32:51,97092,0,2,167
2024-11-08 04:33:21,97273,0,2,167
2024-11-08 04:33:51,97092,0,2,167
2024-11-08 04:34:21,97092,0,2,167
2024-11-08 04:34:51,97092,0,2,167
2024-11-08 04:35:21,97092,0,2,167
2024-11-08 04:35:51,96911,0,2,167
2024-11-08 04:36:21,97273,0,2,167
2024-11-08 04:36:51,97092,0,2,167
2024-11-08 04:37:21,96911,0,2,167
2024-11-08 04:37:51,97092,0,2,167
2024-11-08 04:38:21,96911,0,2,167
2024-11-08 04:38:51,96911,0,2,167
2024-11-08 04:39:21,97092,0,2,167
2024-11-08 04:39:51,96911,0,2,167
2024-11-08 04:40:21,96911,0,2,167
2024-11-08 04:40:51,97092,0,2,167
2024-11-08 04:41:21,96911,0,2,167
2024-11-08 04:41:51,97273,0,2,167
2024-11-08 04:42:21,97092,0,2,167
2024-11-08 04:42:51,96911,0,2,167
2024-11-08 04:43:21,97092,0,2,167
2024-11-08 04:43:51,96911,0,2,167
2024-11-08 04:44:21,96911,0,2,167
2024-11-08 04:44:51,97092,0,2,167
2024-11-08 04:45:21,97092,0,2,167
2024-11-08 04:45:51,97273,0,2,167
2024-11-08 04:46:22,96911,0,2,167
