timestamp,uint8__MODE,uint8__RESET_CAUSE,uint32__UPTIME,uint16__ERROR,uint16__RC_CNT_PWRON,uint16__RC_CNT_WDG,uint16__RC_CNT_CMD,uint16__RC_CNT_MCU,uint16__RC_CNT_EMLOPO,uint32__UNIX_TIME,uint32__UNIX_YEAR,uint32__UNIX_MONTH,uint32__UNIX_DAY,uint32__UNIX_HOUR,uint32__UNIX_MINUTE,uint32__UNIX_SECOND
2024-10-30 20:02:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:02:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:03:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:03:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:04:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:04:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:05:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:05:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:06:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:06:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:07:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:07:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:08:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:08:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:09:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:09:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:10:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:10:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:11:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:11:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:12:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:12:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:13:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:13:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:14:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:14:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:15:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:15:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-30 20:16:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
