timestamp,estQSet_Q1,estQSet_Q2,estQSet_Q3,estQSet_X,estQSet_Y,estQSet_Z
2024-11-07 19:14:39,-29,-6,-51,0,1,6
2024-11-07 19:15:09,-22,-7,-28,-1,2,4
2024-11-07 19:15:39,-16,-7,-8,0,2,3
2024-11-07 19:16:09,-10,-8,8,0,1,1
2024-11-07 19:16:39,-6,-9,21,-1,2,0
2024-11-07 19:17:09,-2,-9,28,0,2,-3
2024-11-07 19:17:39,1,-11,31,0,2,-5
2024-11-07 19:18:09,4,-10,29,0,2,-5
2024-11-07 19:18:39,7,-9,24,1,2,-5
2024-11-07 19:19:09,10,-8,19,1,2,-5
2024-11-07 19:19:39,13,-8,13,0,2,-5
2024-11-07 19:20:09,16,-7,5,0,2,-6
2024-11-07 19:21:00,25,-15,-46,1,3,-6
2024-11-07 19:21:30,28,-9,-56,1,2,-6
2024-11-07 19:22:00,30,-4,-62,1,1,-5
2024-11-07 19:22:30,32,-2,-67,1,0,-5
2024-11-07 19:23:00,34,0,-71,1,0,-5
2024-11-07 19:23:30,35,0,-77,1,0,-5
2024-11-07 19:24:00,36,1,-83,1,0,-5
2024-11-07 19:24:30,38,2,-88,1,-1,-5
2024-11-07 19:25:00,39,2,-93,1,-1,-4
2024-11-07 19:25:30,40,2,-100,1,-1,-6
2024-11-07 19:26:00,41,3,-107,2,-1,-5
2024-11-07 19:26:31,41,3,-117,2,-1,-7
2024-11-07 19:27:01,41,2,-128,2,-1,-7
2024-11-07 19:27:31,42,2,-136,2,-1,-6
2024-11-07 19:28:01,42,2,-142,2,-1,-5
2024-11-07 19:28:35,42,2,-145,2,-1,-4
2024-11-07 19:29:05,40,1,-143,0,-1,-2
2024-11-07 19:29:35,36,3,-96,0,-1,-1
2024-11-07 19:30:05,31,1,-95,0,-1,0
2024-11-07 19:30:35,28,0,-94,0,0,0
2024-11-07 19:31:05,24,0,-93,0,0,0
2024-11-07 19:31:35,21,0,-90,-1,0,0
2024-11-07 19:32:05,17,0,-89,0,0,0
2024-11-07 19:32:35,15,1,-89,0,0,0
2024-11-07 19:33:06,12,2,-88,0,0,1
2024-11-07 19:33:36,9,3,-86,-1,-1,1
2024-11-07 19:34:06,5,3,-82,-1,0,1
2024-11-07 19:34:36,0,2,-78,-1,-1,1
2024-11-07 19:35:06,-3,2,-74,-1,-1,2
2024-11-07 19:35:36,-8,3,-68,-1,-1,2
2024-11-07 19:36:06,-13,4,-63,-1,-1,1
2024-11-07 19:36:36,-18,3,-58,-1,-1,1
2024-11-07 19:37:06,-23,2,-54,-1,-1,2
2024-11-07 19:37:36,-27,2,-51,-1,-1,2
2024-11-07 19:38:06,-30,2,-48,0,-1,2
2024-11-07 19:38:36,-33,2,-45,-1,-1,2
2024-11-07 19:39:06,-37,2,-41,-2,-1,2
2024-11-07 19:39:36,-41,4,-37,-1,-1,2
2024-11-07 19:40:06,-44,5,-34,-1,-1,2
2024-11-07 19:40:36,-46,6,-31,0,-2,1
2024-11-07 19:41:06,-45,6,-30,1,-1,1
2024-11-07 19:41:36,-44,6,-29,2,-2,1
2024-11-07 19:42:06,-40,6,-30,3,-2,1
2024-11-07 19:42:36,-33,5,-32,4,-2,1
2024-11-07 19:43:06,-25,3,-34,4,-1,1
2024-11-07 19:43:36,-17,0,-36,6,-1,0
2024-11-07 19:44:06,-8,-1,-38,6,-1,0
2024-11-07 19:44:36,0,-1,-40,5,0,0
2024-11-07 19:45:06,4,-1,-41,3,1,1
2024-11-07 19:45:36,6,0,-41,3,0,1
2024-11-07 19:46:06,6,0,-42,1,0,1
2024-11-07 19:46:36,3,0,-42,0,-1,1
2024-11-07 19:47:06,0,0,-44,-1,0,0
2024-11-07 19:47:36,-6,0,-46,-1,0,0
2024-11-07 19:48:07,-12,0,-48,-2,0,-1
2024-11-07 19:48:37,-21,1,-51,-2,0,-1
2024-11-07 19:49:07,-29,2,-53,-1,0,-1
2024-11-07 19:49:37,-31,1,-53,1,-1,0
2024-11-07 19:50:07,-34,0,-53,-1,0,-1
2024-11-07 19:50:37,-39,0,-53,-1,0,0
2024-11-07 19:51:07,-44,0,-53,-1,-1,-1
2024-11-07 19:51:37,-48,0,-53,0,0,0
2024-11-07 19:52:07,-51,0,-53,-1,0,0
2024-11-07 19:52:37,-54,0,-53,-2,0,-1
2024-11-07 19:53:07,-58,1,-54,-1,0,-1
2024-11-07 19:53:37,-60,0,-54,-1,-1,0
2024-11-07 19:54:07,-62,0,-54,-1,0,0
2024-11-07 19:54:37,-62,0,-51,0,0,1
2024-11-07 19:55:07,-61,0,-47,0,0,2
2024-11-07 19:55:37,-56,-1,-39,1,1,2
2024-11-07 19:56:07,-50,-2,-30,2,0,4
2024-11-07 19:56:37,-44,-3,-20,2,0,4
2024-11-07 19:57:07,-36,-4,-9,2,1,4
2024-11-07 19:57:37,-29,-4,1,2,0,4
2024-11-07 19:58:07,-22,-4,12,2,1,4
2024-11-07 19:58:37,-16,-4,21,2,1,4
2024-11-07 19:59:07,-12,-2,28,1,0,4
2024-11-07 19:59:37,-8,0,34,1,0,4
2024-11-07 20:00:07,-3,1,42,1,0,4
2024-11-07 20:00:37,3,3,52,1,-1,5
2024-11-07 20:01:07,10,3,62,1,-1,4
2024-11-07 20:01:37,15,4,69,1,-1,4
2024-11-07 20:02:07,21,3,77,1,-1,4
2024-11-07 20:02:38,27,3,85,1,-1,4
2024-11-07 20:03:08,33,3,93,0,-1,3
2024-11-07 20:03:38,38,1,98,0,-1,3
2024-11-07 20:04:08,42,0,101,0,0,1
2024-11-07 20:04:38,44,0,101,0,-1,0
2024-11-07 20:05:08,46,0,100,0,0,-1
2024-11-07 20:05:38,47,-1,97,-1,-1,-1
2024-11-07 20:06:08,49,-2,94,0,0,-1
2024-11-07 20:06:38,51,-3,92,0,0,0
2024-11-07 20:07:08,53,-4,90,0,0,-1
2024-11-07 20:07:38,56,-4,88,0,1,-1
2024-11-07 20:08:08,58,-5,85,0,1,-1
2024-11-07 20:08:38,60,-6,82,-1,1,-1
2024-11-07 20:09:08,62,-7,78,-1,1,-1
2024-11-07 20:09:38,63,-7,73,-1,1,-1
2024-11-07 20:10:08,65,-7,69,-1,2,-1
2024-11-07 20:10:38,67,-7,66,-1,2,0
2024-11-07 20:11:08,69,-6,66,0,1,0
2024-11-07 20:11:38,70,-6,65,0,1,-1
2024-11-07 20:12:08,71,-6,64,-1,1,-1
2024-11-07 20:12:38,72,-6,61,0,1,-2
2024-11-07 20:13:08,72,-6,58,-1,2,-1
2024-11-07 20:13:38,73,-6,55,-1,1,-1
2024-11-07 20:14:08,74,-6,52,0,1,-1
2024-11-07 20:14:38,74,-6,48,0,1,-2
2024-11-07 20:15:08,73,-6,42,0,1,-3
2024-11-07 20:15:38,73,-8,35,0,1,-3
2024-11-07 20:16:08,72,-9,26,0,1,-4
2024-11-07 20:16:38,72,-10,17,0,2,-3
2024-11-07 20:17:08,72,-9,8,0,2,-3
2024-11-07 20:17:39,72,-8,2,0,2,-3
